COMMUNITY_ABRV,COMMUNITY_FULL,TOTAL_POP,GLOBALID,Shape_Length,Shape_Area,DA_AREA_m2
MIS,MISSION,4505,fb763632-2344-4cd6-9cdb-cad67e6a3029,3830.447722,535422.4676,535422.4676
WND,WINDSOR PARK,4410,eb3ce718-a15f-47c2-8dad-cd929debce36,5337.709339,1276208.174,1276208.174
HUN,HUNTINGTON HILLS,13120,2819d280-45f2-45d6-b298-b88ea9134202,10148.4085,4771064.139,4771064.139
TUS,TUSCANY,19700,c518d8f7-b8e0-4313-a707-163ad13382c4,11575.07014,6770556.449,6770556.449
RAN,RANCHLANDS,7490,89568cb7-4991-4d02-af86-003991e6930e,6566.29603,2340531.575,2340531.575
WHI,WHITEHORN,11085,83fd54ad-9218-4f56-9f93-70204764e519,6486.909479,2643505.331,2643505.331
BRI,BRIDLEWOOD,12545,8af7aea8-e5e0-41db-8235-286af6aaa25c,7312.165163,3141989.262,3141989.262
GLA,GLAMORGAN,6575,a833ea9d-988d-42b8-bc18-db16faa21bd5,5982.062613,1945322.143,1945322.143
EDG,EDGEMONT,15255,528e8c99-0acc-492c-91fb-53582d28a902,11501.88208,6622106.789,6622106.789
BRD,BRIDGELAND/RIVERSIDE,6350,44f67493-2185-4ec9-9653-ab950e4fb9c9,8390.923203,3050717.049,3050717.049
WIL,WILLOW PARK,5090,c5241319-d1e2-4cb2-879d-7f1e3b09c2ea,7334.052084,3400928.297,3400928.297
WWO,WOLF WILLOW,525,e77f81bd-58d8-4ad7-96e9-7afd5963fe9b,8840.727314,2855238.736,2855238.736
RSN,REDSTONE,9050,1914247a-743e-46e4-8359-c7ef51f3ac46,5759.111665,1953702.454,1953702.454
SPH,SPRINGBANK HILL,9840,05cd5dc2-025d-478b-9594-2a706613a631,10355.60819,6508852.932,6508852.932
HID,HIDDEN VALLEY,11540,46059e99-bc60-493b-b1f4-73c0b4254c79,10298.83152,4306982.959,4306982.959
NHV,NORTH HAVEN,2365,e3840233-fad1-4a69-adfd-20e66cb4ddde,4111.554694,845952.8627,845952.8627
VIS,VISTA HEIGHTS,2300,ee15ec87-c463-40be-9a80-b7c07623495e,4783.508508,1138919.72,1138919.72
SOW,SOUTHWOOD,6095,dcf6f5c7-6ccf-4ea7-b60c-c5c842d658d6,6594.024826,2665834.847,2665834.847
CHA,CHAPARRAL,12500,1f37f706-5fa1-4ced-bc4f-0850c549efe9,10168.84816,5448997.991,5448997.991
HIL,HILLHURST,5475,5c4f9072-4fd9-4572-b848-9d8154150870,6752.792582,2068680.951,2068680.951
STR,STRATHCONA PARK,6830,d6cca85a-ac45-49f1-bcc4-e39bd01b342c,9141.431026,2706071.244,2706071.244
PUM,PUMP HILL,1455,90be2f2a-85e8-48d3-bca3-2d3de136f255,3969.016904,942897.5617,942897.5617
WIN,WINSTON HEIGHTS/MOUNTVIEW,3605,46ae827e-04f1-4a0f-8fc2-d7ed36bb2407,8246.403005,3020522.892,3020522.892
COV,COVENTRY HILLS,17350,3f476d35-11f6-4161-b710-3bdb5f921637,9304.447615,4085554.406,4085554.406
KIL,KILLARNEY/GLENGARRY,7920,8d7c88c9-6457-4e2d-be6d-91e38f41febb,5575.213862,1844936.949,1844936.949
RCK,ROSSCARROCK,3490,6d3bfd56-f2b5-4b9f-81a5-8a07849e334e,4368.575113,1067715.524,1067715.524
SHN,SHAWNESSY,9055,bfd7db22-0b3f-4609-a79a-52abf2cef8f4,9826.308311,3649335.136,3649335.136
CPF,COPPERFIELD,14095,3d7d25a3-e472-4d0b-bd21-619d95527500,10393.43026,4610640.3,4610640.3
PAN,PANORAMA HILLS,25535,c62594c2-b96f-4cb8-ae78-5dd121b03339,11756.11986,6337370.787,6337370.787
CAN,CANYON MEADOWS,7435,f4025433-13a9-4950-957d-aad60559290b,8498.765829,3080770.213,3080770.213
CHK,CHINOOK PARK,1535,143ba7ae-57f5-4ecc-a86b-265822e57ed1,3242.314859,582054.0795,582054.0795
FHT,FOREST HEIGHTS,5985,2782a003-3f86-43c6-ad50-4bc8a6e44ee1,5194.289415,1505969.439,1505969.439
MAL,MAYLAND HEIGHTS,5925,323f3062-1a16-41ce-86e6-3552be6140c3,6237.192437,2023288.732,2023288.732
MID,MIDNAPORE,6480,ca55e3c3-1e39-4d9c-a1fd-d87c71823274,7688.233869,2955446,2955446
LPK,LINCOLN PARK,1590,4d64c32c-0afd-438f-a0bd-5477d11739c3,5509.851165,1485748.191,1485748.191
CHN,CHINATOWN,2250,7688797b-79b5-479b-8e2b-0631f987b336,2651.084717,246777.9745,246777.9745
ST2,STONEY 2,0,a074c3f9-92a4-4c5e-9971-09635122988e,10678.77784,3952180.568,3952180.568
HUX,HUXLEY,0,c6d8d87f-cf1e-4ba2-9e5d-9493c4d72fd4,6298.942831,1541373.026,1541373.026
GPI,GREAT PLAINS,0,000e2b81-5850-4f7e-ac00-a45c0b7fb0cd,8537.158641,4272142.068,4272142.068
ST4,STONEY 4,0,a5b61bb2-bbd8-437f-9cd9-daa0d156b0cd,16039.99466,4315214.602,4315214.602
MNI,MANCHESTER INDUSTRIAL,0,328d9591-5290-4dfe-8ec5-2632efccd924,11940.15243,4574412.17,4574412.17
GLR,GLACIER RIDGE,0,4e77ba01-7c91-4c5d-bc74-0011e5f57d11,7379.892536,59671.78655,59671.78655
RVW,RANGEVIEW,0,e01a1d73-3fb4-4abc-b1a4-c1b57d68ea16,9278.439051,4803874.249,4803874.249
13G,13G,0,ddd671c6-1c2a-4f5e-b7f8-2335d000476f,10803.55559,5063379.895,5063379.895
01K,01K,0,06439eaa-e781-4a94-b5df-0e5e01d3fe06,9664.797809,5231041.143,5231041.143
SGL,STONEGATE LANDING,0,651a4091-c5b1-4dd5-873c-683087e99837,10129.70483,5437861.892,5437861.892
HSN,HASKAYNE,0,1200da5d-7612-4699-a4a1-ba27ac15eac6,5915.87592,283237.6007,283237.6007
STD,STARFIELD,0,49ffe727-d196-4740-9453-8a6e220ca5d6,9887.882622,5971721.499,5971721.499
RRC,RICARDO RANCH,0,6f0ae11d-3bbb-43d6-ac92-d17695cbd7d2,12665.67832,5905921.285,5905921.285
ST1,STONEY 1,0,509754ae-de15-445d-8d25-ac303ba19999,14378.48906,6241154.848,6241154.848
09P,09P,0,36ac57ba-7757-4a28-b5ba-f32078dd7d57,3263.925273,8808.198419,8808.198419
09Q,09Q,0,29c3c532-2e1f-449c-a37c-dc47fcce1f5c,11621.08365,6777489.046,6777489.046
